,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,ccg
60,184.6478,186.1075,187.5333,188.9172,190.2599,191.5466,192.7823,193.954,195.0843,196.1726,197.222,198.2253,199.1891,200.119,201.0242,201.9084,202.7697,203.6251,204.4635,205.3,206.1516,207.0072,207.8675,208.7331,209.6026,210.473,91Q
61,55.459,55.7677,56.0512,56.3351,56.6176,56.8927,57.1599,57.4131,57.6621,57.905,58.1445,58.3744,58.5965,58.8146,59.0291,59.2417,59.4482,59.6508,59.852,60.0535,60.256,60.4582,60.6593,60.8596,61.0593,61.2578,97R
62,74.2527,74.4707,74.6773,74.8633,75.033,75.1652,75.2697,75.3405,75.3922,75.4383,75.4648,75.4789,75.4921,75.5019,75.5277,75.5618,75.6021,75.6395,75.6871,75.751,75.8329,75.926,76.0257,76.1348,76.251,76.3738,D4U1Y
63,160.3009,161.1687,161.9638,162.7065,163.4119,164.0831,164.7339,165.3526,165.955,166.5399,167.0987,167.633,168.1374,168.6207,169.0737,169.5044,169.9185,170.3251,170.728,171.1292,171.5232,171.9227,172.3292,172.7425,173.1584,173.574,D9Y0V
64,67.2414,67.6568,68.0444,68.4011,68.7285,69.0333,69.3229,69.5985,69.866,70.1328,70.3912,70.6369,70.8673,71.0927,71.3044,71.5029,71.6907,71.8768,72.059,72.2362,72.4089,72.5868,72.7711,72.9612,73.1569,73.3562,10Q
65,21.5133,21.6203,21.6898,21.7321,21.7657,21.8065,21.8544,21.9101,21.9739,22.0439,22.1072,22.1676,22.2297,22.2943,22.3463,22.3862,22.4235,22.4638,22.5006,22.5295,22.5486,22.5715,22.5996,22.6308,22.6632,22.6963,10R
66,48.9709,49.2387,49.4684,49.6714,49.8482,50.006,50.1449,50.2665,50.3747,50.4696,50.5543,50.6297,50.6955,50.7618,50.8203,50.8801,50.9404,50.9995,51.0625,51.1297,51.1994,51.2754,51.3581,51.4457,51.5383,51.6351,15A
67,85.8852,86.5409,87.1659,87.7879,88.3855,88.9617,89.5148,90.0372,90.5408,91.0223,91.4851,91.9276,92.3544,92.7658,93.1748,93.5739,93.9637,94.3408,94.717,95.0941,95.4763,95.8582,96.2381,96.6183,96.9977,97.3744,70F
68,77.2268,77.5604,77.8476,78.1189,78.3813,78.6411,78.8992,79.1535,79.3988,79.6333,79.8514,80.0548,80.2433,80.416,80.5745,80.7165,80.8507,80.9794,81.1053,81.229,81.3493,81.4749,81.6071,81.7474,81.8951,82.0484,11J
69,63.3558,63.9306,64.4871,65.018,65.5357,66.0441,66.5408,67.0215,67.4891,67.942,68.3824,68.81,69.2218,69.6188,70.0044,70.3776,70.7397,71.0932,71.4432,71.7893,72.1346,72.4795,72.8229,73.1657,73.5071,73.8466,11M
70,91.8428,92.7598,93.7442,94.3253,94.8851,95.4291,95.9496,96.4521,96.9386,97.4023,97.8474,98.2703,98.6797,99.0737,99.4463,99.8081,100.1696,100.5223,100.8696,101.2136,101.5608,101.9113,102.2636,102.6157,102.9692,103.3211,92G
71,95.9968,96.9439,97.7795,98.5484,99.2871,100.0138,100.7402,101.4557,102.1754,102.8963,103.6074,104.3132,105.0191,105.7269,106.4164,107.0889,107.7551,108.4232,109.0868,109.7408,110.378,111.0131,111.6475,112.2762,112.897,113.5074,15C
72,119.4166,120.372,121.2834,122.1533,122.9974,123.84,124.6744,125.4918,126.2953,127.0828,127.8398,128.561,129.2504,129.9143,130.5381,131.1218,131.6851,132.2403,132.7838,133.3138,133.827,134.3426,134.8642,135.3892,135.9138,136.4359,15N
73,56.821,57.4154,57.9778,58.524,59.0612,59.5859,60.1019,60.6047,61.0936,61.5704,62.0302,62.4728,62.895,63.2969,63.6794,64.0448,64.3965,64.7377,65.0715,65.3987,65.7217,66.0425,66.3625,66.6815,66.9986,67.3133,11N
74,55.9399,56.36,56.7726,57.1821,57.5799,57.9658,58.3368,58.6904,59.0312,59.3577,59.6726,59.9755,60.2649,60.5428,60.8166,61.0876,61.3523,61.6103,61.8668,62.1228,62.3799,62.6334,62.8819,63.1262,63.3669,63.6048,11X
