,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
1119,01Y,Apr,326.6396914766098,286.8378724203371,261.2845950275305,207.52923260007705,3590.9874282548817,3985.1047132503422,472.4021727422408,25.9948,98.35,102.55,102.25,2019
1120,01Y,May,331.2256293077004,287.3821973854517,263.6845915456703,207.84425804978105,3500.5847323310813,3902.665148414298,435.0100789388647,25.9948,98.35,102.55,102.25,2019
1121,01Y,Jun,317.4853119740217,265.25149951807805,264.5301861738231,214.65461086377695,3254.727868650653,3598.4119900903256,404.96560850631664,25.9948,98.35,102.55,102.25,2019
1122,01Y,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,3756.674411805438,4180.451474910366,472.7868650653208,25.9948,98.35,102.55,102.25,2019
1123,01Y,Aug,324.5284882190582,265.55282226662365,267.70945617280967,221.3903523870535,3227.914813731977,3579.1773739363257,400.9263391139766,25.9948,98.35,102.55,102.25,2019
1124,01Y,Sep,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957505,3509.4711249942293,3902.934433040454,414.4290396540847,25.9948,98.35,102.55,102.25,2019
1125,01Y,Oct,333.8597733353085,254.71492340764536,279.1208385811668,233.4483659816452,4213.227260836782,4707.018326742272,430.7784633849847,25.9948,98.35,102.55,102.25,2019
1126,01Y,Nov,391.9470231839668,275.3623357450818,291.4171937988898,246.5136320009484,3692.6231400126176,4127.017711234555,432.5095788388447,25.9948,98.35,102.55,102.25,2019
1127,01Y,Dec,437.9599788957435,313.30372983130206,304.082460398503,255.02346421466328,3308.084693861849,3709.4341945312135,416.9295397541047,25.9948,98.35,102.55,102.25,2019
1128,02E,Jan,347.4504013035805,275.14460575903587,276.79752588959974,223.66185168228773,3823.985759704533,4294.124926228416,535.3598777111578,21.0108,98.7,102.1,103.0,2019
1129,02E,Feb,311.8865409042715,253.46297598788175,247.2017139042493,198.60696575155225,3442.705656138748,3767.538599196604,494.16574792559584,21.0108,98.7,102.1,103.0,2019
1130,02E,Mar,317.91688391064827,277.72431729013255,259.44625572563933,208.0370038841394,3600.8148190454435,3968.863632036857,540.6102535419917,21.0108,98.7,102.1,103.0,2019
1131,02E,Apr,326.63969147660976,286.8378724203371,261.28459502753054,207.52923260007705,3329.763740552478,3652.6929007938775,511.9482845039709,21.0108,98.7,102.1,103.0,2019
1132,02E,May,331.2256293077003,287.38219738545166,263.6845915456703,207.84425804978108,3513.859538903802,3840.5962647781134,560.5589024882103,21.0108,98.7,102.1,103.0,2019
1133,02E,Jun,317.48531197402167,265.251499518078,264.53018617382315,214.65461086377695,3282.787899556419,3589.915662421231,534.1144464819675,21.0108,98.7,102.1,103.0,2019
1134,02E,Jul,322.04986561005416,257.63872607740376,277.6742085555523,231.5685759626877,3734.317589049441,4104.365373998135,577.5452901231521,21.0108,98.7,102.1,103.0,2019
1135,02E,Aug,324.52848821905815,265.5528222666236,267.70945617280967,221.39035238705355,3192.405810345156,3515.47775429779,533.3757894578496,21.0108,98.7,102.1,103.0,2019
1136,02E,Sep,310.4207515339272,244.72461628005985,261.81930927768605,216.46600719957505,3786.052887086641,4158.290022274259,540.8908820705965,21.0108,98.7,102.1,103.0,2019
1137,02E,Oct,333.85977333530843,254.71492340764536,279.1208385811668,233.4483659816452,4415.395891636682,4884.963923315629,542.3576338332738,21.0108,98.7,102.1,103.0,2019
1138,02E,Nov,391.9470231839666,275.36233574508174,291.4171937988898,246.5136320009484,3983.189597730691,4382.460448911988,532.5904912908989,21.0108,98.7,102.1,103.0,2019
1139,02E,Dec,437.95997889574346,313.303729831302,304.08246039850303,255.0234642146633,3580.3015591981266,3937.784377558208,492.24311258744495,21.0108,98.7,102.1,103.0,2019
1140,02H,Jan,347.4504013035806,275.14460575903587,276.7975258895997,223.6618516822877,3273.1003401464404,3786.312311835509,355.2867084485213,32.7506,92.7,102.9,97.4,2019
1141,02H,Feb,311.8865409042716,253.4629759878818,247.20171390424923,198.60696575155225,2974.601992024573,3425.7387650913265,328.1309326422144,32.7506,92.7,102.9,97.4,2019
1142,02H,Mar,317.9168839106483,277.72431729013266,259.44625572563933,208.0370038841394,3161.499331309961,3599.934047009826,360.4019243554047,32.7506,92.7,102.9,97.4,2019
